locale_code,namespace,key,value
en,common,app.name,SmartSchool
en,common,action.save,Save
en,common,action.cancel,Cancel
en,common,action.delete,Delete
en,common,action.edit,Edit
en,common,action.create,Create
en,common,nav.dashboard,Dashboard
en,common,resource.school.label,School
en,common,resource.school.plural,Schools
en,common,resource.student.label,Student
en,common,resource.student.plural,Students
en,common,resource.teacher.label,Teacher
en,common,resource.teacher.plural,Teachers
en,common,resource.class.label,Class
en,common,resource.class.plural,Classes
si,common,app.name,SmartSchool
si,common,action.save,සුරකින්න
si,common,action.cancel,අවලංගු කරන්න
si,common,action.delete,මකන්න
si,common,action.edit,සංස්කරණය
si,common,action.create,සාදන්න
si,common,nav.dashboard,පුවරුව
si,common,resource.school.label,පාසල
si,common,resource.school.plural,පාසල්
si,common,resource.student.label,ශිෂ්‍යයා
si,common,resource.student.plural,ශිෂ්‍යයෝ
si,common,resource.teacher.label,ගුරුතුමා
si,common,resource.teacher.plural,ගුරුවරු
si,common,resource.class.label,පන්තිය
si,common,resource.class.plural,පන්ති
ta,common,app.name,SmartSchool
ta,common,action.save,சேமி
ta,common,action.cancel,ரத்து
ta,common,action.delete,நீக்கு
ta,common,action.edit,திருத்து
ta,common,action.create,உருவாக்கு
ta,common,nav.dashboard,டாஷ்போர்டு
ta,common,resource.school.label,பள்ளி
ta,common,resource.school.plural,பள்ளிகள்
ta,common,resource.student.label,மாணவர்
ta,common,resource.student.plural,மாணவர்கள்
ta,common,resource.teacher.label,ஆசிரியர்
ta,common,resource.teacher.plural,ஆசிரியர்கள்
ta,common,resource.class.label,வகுப்பு
ta,common,resource.class.plural,வகுப்புகள்
ar,common,app.name,SmartSchool
ar,common,action.save,حفظ
ar,common,action.cancel,إلغاء
ar,common,action.delete,حذف
ar,common,action.edit,تعديل
ar,common,action.create,إنشاء
ar,common,nav.dashboard,لوحة التحكم
ar,common,resource.school.label,مدرسة
ar,common,resource.school.plural,مدارس
ar,common,resource.student.label,طالب
ar,common,resource.student.plural,طلاب
ar,common,resource.teacher.label,معلم
ar,common,resource.teacher.plural,معلمون
ar,common,resource.class.label,فصل
ar,common,resource.class.plural,فصول
